date,spot,option_value,delta,gamma,vega,theta,implied_vol,hedge_units,hedge_value,cash,nav,total_pnl,option_pnl,hedge_pnl,delta_attr,gamma_attr,vega_attr,theta_attr
2024-01-17,148.16,6583188.603151355,912030.7631097961,46963.44327832106,5645774.967883133,-1754.8013345865147,0.12493225409711925,-912030.7631097961,-135126477.8623474,128799861.71137734,256572.45218130946,70437.51943309605,900975.552564227,-830538.033131113,830538.033131113,30779.88734947244,65661.11781650876,-8159.613631428243
2024-01-18,148.165,6592787.668938702,919580.6325230638,44556.30119933259,5080117.915878054,-852.7488062781667,0.12637902965461173,-919580.6325230638,-136249664.41777974,129918488.11299415,261611.36415311694,5038.91197180748,9599.065787347034,-4560.153815544833,4560.153815544833,0.5870430409779454,8168.169226636209,-1754.8013345865147
2024-01-19,148.155,6579429.843535282,932291.3788108019,40305.12434400823,4252257.651864721,1770.6748225035408,0.12531166750965375,-932291.3788108019,-138123629.22771436,131801648.72925399,257449.34507492185,-4162.019078195095,-13357.825403420255,9195.806325222275,-9195.806325222275,2.2278150599625772,-5422.325555331055,-852.7488062781667
2024-01-22,148.1,6555944.196478367,948879.8457658644,34019.77628004067,2979389.1639429377,3658.171172653545,0.13249083673912446,-948879.8457658644,-140529105.1579245,134258400.68529874,285239.7238526046,27790.37877768278,-23485.647056914866,51276.02583460046,-51276.02583460046,60.96150057032757,30527.677290048563,1770.6748225035408
2024-01-23,148.375,6803261.365054471,991324.6857856576,8294.74855029886,530160.003271551,18972.012381075154,0.10596809708177969,-991324.6857856576,-147087800.25344694,140556153.82323557,271614.93484309316,-13624.789009541273,247317.16857610457,-260941.9575856181,260941.9575856181,1286.372790589091,-79021.56313317262,3658.171172653545
2024-01-24,147.505,5969260.526220687,975701.8059538099,22387.392878481656,1392147.7593723498,12634.242373667359,0.11590940677966104,-975701.8059538099,-143920894.88721672,138251700.93363887,300066.572642833,28451.637799739838,-834000.8388337847,862452.4766335266,-862452.4766335266,3139.1475888606365,5270.484781952276,18972.012381075154
2024-01-25,147.655,6126633.851654992,990951.9273154617,9882.403054021277,510381.9347398885,18387.461556683196,0.10807849608528142,-990951.9273154617,-146319006.82776448,140503457.60329357,311084.627184093,11018.054541260004,157373.3254343057,-146355.27089307702,146355.27089307702,251.85816988293774,-10901.78477702556,12634.242373667359
2024-01-26,148.175,6667472.967212997,991956.928870987,8291.454320319674,432021.04220118694,18162.177403025733,0.1237425725165825,-991956.928870987,-146983217.9354585,140652373.70878354,336628.74053803086,25544.113353937864,540839.1155580049,-515295.0022040502,515295.0022040502,1336.1008929037291,7994.661634920932,18387.461556683196
2024-01-29,147.515,6068742.106320944,999368.1241986414,137.32449206300862,3242.92443943464,22027.991786072114,0.09902602223124106,-999368.1241986414,-147421788.84116256,141745636.18754247,392589.45270085335,55960.712162822485,-598730.8608920537,654691.5730548763,-654691.5730548763,1805.8787509657618,-10678.06981389125,18162.177403025733
2024-01-30,147.605,6180362.969249299,999564.3639824919,2.168558657675089,36.56733301109173,22216.23886966513,0.094165449615411,-999564.3639824919,-147540697.9456357,141774602.1608377,414267.1844513118,21677.73175045848,111620.86292835511,-89943.13117788114,89943.13117788114,0.5561641928552271,-15.762469725522063,22027.991786072114
2024-01-31,146.895,5492931.569862735,999707.9775426291,0.062041542471332395,0.6602011164764076,22044.707954856778,0.09,-999707.9775426291,-146852103.36112452,141795698.27475408,436526.483492285,22259.299040973186,-687431.3993865633,709690.6984275487,-709690.6984275487,0.5465852096669747,-0.1523193832276581,22216.23886966513
2024-02-01,146.435,2973961.401537139,-6771.26509272604,212322.9450360054,32790894.763471656,-51414.45384471884,0.09064866684945766,6771.26509272604,991550.2038533377,-3507431.2629708946,458080.34241958207,21553.858927309513,-2518970.1683255965,459865.6696696174,-459865.6696696174,0.006563995193467195,0.00042825057823318293,22044.707954856778
2024-02-02,148.385,3307020.3581371233,401019.200273256,186459.59949503606,28403464.661049787,-36752.013324211155,0.09018647293531326,-401019.200273256,-59505234.03254709,57002556.940360345,804343.2659503818,346262.92353080004,333058.9565999843,13203.9669308157,-13203.9669308157,403678.9992497006,-15155.751999026032,-51414.45384471884
2024-02-05,148.68,3343830.84547526,488484.1513863121,181485.8335624525,24891227.019935325,-34191.18753684383,0.09058396494574476,-488484.1513863121,-72627823.62811689,70006845.87184952,722853.0892078876,-81490.1767424792,36810.48733813688,-118300.6640806169,118300.6640806169,8113.323323028632,11290.150271340804,-36752.013324211155
2024-02-06,147.945,2905374.9631240396,368237.2175982257,213686.9795687638,26867020.173561815,-40685.60200141288,0.08736198219629357,-368237.2175982257,-54478855.1575695,52216913.252571076,643433.0581256151,-79420.03108227253,-438455.8823512206,359035.8512689461,-359035.8512689461,49021.59221813977,-80199.10407090506,-34191.18753684383
2024-02-07,148.185,3014142.293757956,422337.5953410809,204456.67463615208,25303085.044621643,-39755.902321103895,0.08943936798667784,-422337.5953410809,-62584096.565618075,60233777.72839608,663823.4565359578,20390.398410342634,108767.33063391643,-88376.93222357752,88376.93222357752,6154.185011580865,55813.165938524915,-40685.60200141288
2024-02-08,149.32,3657516.932740908,625077.0471084259,156976.19753784555,19601536.214665677,-27260.028953632238,0.09291600432542312,-625077.0471084259,-93336504.67423014,90506832.66629604,827844.9248068035,164021.4682708308,643374.6389829521,-479353.170712123,479353.170712123,131693.0998415764,87969.62494849366,-39755.902321103895
